Name,Symbol,CIK,Year,Sentiment
Dollar Tree,DLTR,935703,2018,0.04640995025126007
Dollar Tree,DLTR,935703,2017,0.046967127260494575
Dollar Tree,DLTR,935703,2016,0.049300721984645676
Dollar Tree,DLTR,935703,2015,0.03229846569132278
Dollar Tree,DLTR,935703,2014,0.038497924061753855
Dollar Tree,DLTR,935703,2013,0.06900986694464954
Dollar Tree,DLTR,935703,2012,0.07063746302716892
Dollar Tree,DLTR,935703,2011,0.07449918247537293
Dollar Tree,DLTR,935703,2010,0.05379782573748092
Dollar Tree,DLTR,935703,2009,0.05462163601927381
Eastman Chemical,EMN,915389,2018,0.08787061994609162
Eastman Chemical,EMN,915389,2017,0.09292149292149292
Eastman Chemical,EMN,915389,2016,0.100801749271137
Eastman Chemical,EMN,915389,2015,0.09749240121580545
Eastman Chemical,EMN,915389,2014,0.09935410334346502
Eastman Chemical,EMN,915389,2013,0.06003909026297085
Eastman Chemical,EMN,915389,2012,0.0
Eastman Chemical,EMN,915389,2011,0.04585998578535892
Eastman Chemical,EMN,915389,2010,0.0
Eastman Chemical,EMN,915389,2009,0.0
Equifax Inc.,EFX,33185,2018,0.06054548112187948
Equifax Inc.,EFX,33185,2017,0.060901799146480085
Equifax Inc.,EFX,33185,2016,0.06756719927545271
Equifax Inc.,EFX,33185,2015,0.06981478107730621
Equifax Inc.,EFX,33185,2014,0.06053761035552376
Equifax Inc.,EFX,33185,2013,0.0671755011293055
Equifax Inc.,EFX,33185,2012,0.06260758024359063
Equifax Inc.,EFX,33185,2011,0.06726964376405721
Equifax Inc.,EFX,33185,2010,0.0
Equifax Inc.,EFX,33185,2009,0.0
"United Rentals, Inc.",URI,1067701,2018,0.0
"United Rentals, Inc.",URI,1067701,2017,0.0
"United Rentals, Inc.",URI,1067701,2016,0.0
"United Rentals, Inc.",URI,1067701,2015,0.0
"United Rentals, Inc.",URI,1067701,2014,0.0
"United Rentals, Inc.",URI,1067701,2013,0.0
"United Rentals, Inc.",URI,1067701,2012,0.0
"United Rentals, Inc.",URI,1067701,2011,0.05060911139614845
"United Rentals, Inc.",URI,1067701,2010,0.042687641934568185
"United Rentals, Inc.",URI,1067701,2009,0.03948047466681009
Phillips 66,PSX,1534701,2018,0.0
Phillips 66,PSX,1534701,2017,0.0
Phillips 66,PSX,1534701,2016,0.0
Phillips 66,PSX,1534701,2015,0.0
Phillips 66,PSX,1534701,2014,0.0
Phillips 66,PSX,1534701,2013,0.0
Phillips 66,PSX,1534701,2012,0.0
Phillips 66,PSX,1534701,2011,0.0
Phillips 66,PSX,1534701,2010,0.0
Phillips 66,PSX,1534701,2009,0.0
Best Buy Co. Inc.,BBY,764478,2018,0.0
Best Buy Co. Inc.,BBY,764478,2017,0.0495793167313786
Best Buy Co. Inc.,BBY,764478,2016,0.04940022657198918
